"","flightNumber","date","ALT_GIN","LAT_GIN","LON_GIN","PS_RVSM","PS_RVSM_FLAG","TAT_ND_R","TAT_ND_R_FLAG","RH_LIQ","O3_TECO","no_mr","no2_mr","no_u","no2_u","no_lod","no2_lod","co2_drymole","co2_flag","ch4_drymole","ch4_flag","ch4_bias","ch4_uncert","co2_bias","co2_uncert","chl","nh4","no3","org","so4","mass_bc_ugm3","n_bc"
"1","c392",2024-10-25T11:11:10+00:00,196.088171291351,52.0778893232346,-0.610938332602382,996.493418121338,0,286.83547077179,7.95,98.9631500244141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","c392",2024-10-25T11:11:20+00:00,263.73166475296,52.0820666074753,-0.606653962470591,988.682006454468,0,286.382271194458,8,101.269193267822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","c392",2024-10-25T11:11:30+00:00,336.293062782288,52.0878806233406,-0.600564909726381,980.3628698349,0,285.936190700531,8,104.0861328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","c392",2024-10-25T11:11:40+00:00,394.21900100708,52.0944454550743,-0.594414903223515,973.732195663452,0,285.585789394379,8,107.02013092041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","c392",2024-10-25T11:11:50+00:00,442.055311203003,52.1021795153618,-0.588611008413136,968.684855079651,0,285.220072460175,8,108.600592041016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","c392",2024-10-25T11:12:00+00:00,512.452660179138,52.1108542084694,-0.583000083267689,960.72077293396,0,284.771164703369,8,111.181455993652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","c392",2024-10-25T11:12:10+00:00,625.817440977665,52.1202190722044,-0.578390856895327,947.469454956055,0,285.373079299927,5.125,105.789139556885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","c392",2024-10-25T11:12:20+00:00,702.563052177429,52.1300734043121,-0.574891309067607,938.522689056397,0,286.258323860168,0,94.3701873779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","c392",2024-10-25T11:12:30+00:00,721.280950546265,52.1408605456352,-0.572624964639544,936.867703437805,0,286.584977245331,0,89.2775024414063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","c392",2024-10-25T11:12:40+00:00,731.574620056152,52.1526253461838,-0.571236614882946,936.185475349426,0,286.542951774597,0,88.9233543395996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","c392",2024-10-25T11:12:50+00:00,794.115856361389,52.1650412201881,-0.570131002180278,929.497581863403,0,286.256884288788,0,88.305233001709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","c392",2024-10-25T11:13:00+00:00,886.388418579102,52.1776916861534,-0.569212436117232,919.396385192871,0,286.330183601379,0,76.4000305175781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","c392",2024-10-25T11:13:10+00:00,982.600767326355,52.1903478980064,-0.568295401521027,908.875073432922,0,285.777183628082,0,77.619694519043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","c392",2024-10-25T11:13:20+00:00,1076.35291633606,52.2029189348221,-0.567197805456817,898.711219024658,0,285.038688373566,0,80.8373107910156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","c392",2024-10-25T11:13:30+00:00,1166.56642074585,52.2154131412506,-0.565923274867237,888.9944272995,0,284.525625801086,0,79.3118110656738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","c392",2024-10-25T11:13:40+00:00,1255.39271774292,52.2277344346046,-0.563450356945395,879.527941513061,0,283.763911151886,0,82.5170288085938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","c392",2024-10-25T11:13:50+00:00,1343.2376083374,52.2397106766701,-0.558871684409678,870.261026191711,0,282.945376777649,0,86.2038963317871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
